sold,price,name,size
False,1572904 ,17×ù2202,97.74
True,1898877 ,18×ù2304,120.7
False,1793978 ,18×ù2303,120.61
True,1553187 ,18×ù2302,97.48
True,1585957 ,18×ù2301,97.57
False,1561061 ,17×ù2401,97.65
True,1797023 ,17×ù2304,120.82
False,1876181 ,17×ù2303,120.91
True,1578151 ,17×ù2302,97.74
False,1892397 ,18×ù2404,120.7
False,1787503 ,18×ù2403,120.61
False,1558420 ,18×ù2402,97.48
True,1591194 ,18×ù2401,97.57
True,1566303 ,17×ù2501,97.65
True,1790536 ,17×ù2404,120.82
False,1869690 ,17×ù2403,120.91
True,1583397 ,17×ù2402,97.74
True,1885918 ,18×ù2504,120.7
True,1781028 ,18×ù2503,120.61
True,1563653 ,18×ù2502,97.48
True,1596432 ,18×ù2501,97.57
True,1571546 ,17×ù2601,97.65
True,1784050 ,17×ù2504,120.82
False,1863199 ,17×ù2503,120.91
True,1588644 ,17×ù2502,97.74
True,1879438 ,18×ù2604,120.7
True,1774553 ,18×ù2603,120.61
True,1568886 ,18×ù2602,97.48
True,1601670 ,18×ù2601,97.57
True,1566303 ,17×ù2701,97.65
True,1777564 ,17×ù2604,120.82
False,1856708 ,17×ù2603,120.91
True,1593891 ,17×ù2602,97.74
False,1872958 ,18×ù2704,120.7
True,1768078 ,18×ù2703,120.61
False,1563653 ,18×ù2702,97.48
True,1596432 ,18×ù2701,97.57
True,1561061 ,17×ù2801,97.65
False,1771078 ,17×ù2704,120.82
False,1850218 ,17×ù2703,120.91
False,1588644 ,17×ù2702,97.74
False,1866479 ,18×ù2804,120.7
True,1761603 ,18×ù2803,120.61
True,1591194 ,18×ù2801,97.57
True,1555819 ,17×ù2901,97.65
True,1764592 ,17×ù2804,120.82
True,1843727 ,17×ù2803,120.91
True,1583397 ,17×ù2802,97.74
False,1859999 ,18×ù2904,120.7
True,1755128 ,18×ù2903,120.61
True,1553187 ,18×ù2902,97.48
True,1585957 ,18×ù2901,97.57
True,1550577 ,17×ù3001,97.65
True,1758105 ,17×ù2904,120.82
True,1837236 ,17×ù2903,120.91
False,1578151 ,17×ù2902,97.74
False,1853520 ,18×ù3004,120.7
True,1748653 ,18×ù3003,120.61
False,1547953 ,18×ù3002,97.48
True,1580719 ,18×ù3001,97.57
True,1545335 ,17×ù3101,97.65
True,1751619 ,17×ù3004,120.82
False,1830745 ,17×ù3003,120.91
True,1572904 ,17×ù3002,97.74
True,1847040 ,18×ù3104,120.7
True,1742178 ,18×ù3103,120.61
True,1542720 ,18×ù3102,97.48
True,1575481 ,18×ù3101,97.57
True,1540092 ,17×ù3201,97.65
True,1745133 ,17×ù3104,120.82
True,1824254 ,17×ù3103,120.91
True,1567657 ,17×ù3102,97.74
True,1840561 ,18×ù3204,120.7
True,1537487 ,18×ù3202,97.48
True,1570243 ,18×ù3201,97.57
True,1534850 ,17×ù3301,97.65
True,1738647 ,17×ù3204,120.82
False,1817764 ,17×ù3203,120.91
True,1562410 ,17×ù3202,97.74
True,1834081 ,18×ù3304,120.7
True,1729227 ,18×ù3303,120.61
True,1532254 ,18×ù3302,97.48
False,1565005 ,18×ù3301,97.57
True,1529608 ,17×ù3401,97.65
True,1732161 ,17×ù3304,120.82
False,1811273 ,17×ù3303,120.91
True,1557163 ,17×ù3302,97.74
False,1827602 ,18×ù3404,120.7
True,1722752 ,18×ù3403,120.61
True,1527020 ,18×ù3402,97.48
True,1559767 ,18×ù3401,97.57
True,1524366 ,17×ù3501,97.65
False,1725675 ,17×ù3404,120.82
False,1804782 ,17×ù3403,120.91
True,1551916 ,17×ù3402,97.74
True,1821122 ,18×ù3504,120.7
True,1716277 ,18×ù3503,120.61
True,1521787 ,18×ù3502,97.48
True,1554530 ,18×ù3501,97.57
True,1519123 ,17×ù3601,97.65
True,1719188 ,17×ù3504,120.82
False,1798291 ,17×ù3503,120.91
True,1546670 ,17×ù3502,97.74
False,1814643 ,18×ù3604,120.7
True,1709802 ,18×ù3603,120.61
